,Consumption,Forecast D-1,Forecast D,Fuel oil,Coal,Gas,Nuclear,Wind,Solar,Hydraulic,Hydralic pumping,Bioenergies,Physical exchange,Fossil,Renewable
2017-07-31,33.6291035,33.75875,33.7833,0.107804,0.8663155,2.142906,28.1410905,1.713315,1.0607455,3.87735,-0.4926995,0.8177145,-4.604144,3.1170255,7.469125
2017-08-31,31.850969,31.97805,31.97765,0.1025935,0.200368,1.5659675,28.5667875,1.241683,1.031294,3.4878205,-0.5122055,0.785818,-4.6174245,1.868929,6.5466155
2017-09-30,33.4265015,33.3702,33.41675,0.212019,0.5782505,2.093767,29.3289305,1.649629,0.806077,3.0775285,-0.4925865,0.765929,-4.592645,2.8840365,6.2991635
2017-10-31,36.3632455,36.2619,36.28185,0.360596,1.214278,3.655574,28.004562,2.087466,0.7008975,2.7177825,-0.681799,0.7672725,-2.462924,5.230448,6.2734185
2017-11-30,44.701066,44.280499999999996,44.19175,0.3833855,1.4452705,5.103313,30.321206,2.3342975,0.44565899999999997,3.9209035,-0.608945,0.8686125,0.4879415,6.9319690000000005,7.5694725
2017-12-31,51.441314,50.809775,50.743520000000004,0.343574,0.8504175,4.7936905,37.370015,3.3807835,0.270859,5.261738,-0.6959585,0.8418655,-0.97505,5.987682,9.755246
2018-01-31,48.4363295,47.789595,47.719789999999996,0.1424045,0.310158,3.0468855,40.7617175,4.0043545,0.277658,7.2304605,-0.8035835,0.8049915,-7.3375175,3.499448,12.3174645
2018-02-28,49.907977,49.47085,49.46265,0.335792,0.9839495,4.6479455000000005,36.402785,2.779862,0.5349505,7.108186,-0.488859,0.7802155,-3.1762775,5.967687,11.203214000000001
2018-03-31,48.2695135,47.9368,47.72165,0.2600065,0.8384805,3.813322,35.7090075,3.12925,0.7828205,7.004323,-0.634474,0.814761,-3.4473895,4.911809,11.7311545
2018-04-30,36.0569515,35.5917,35.7593,0.0615825,0.2504925,0.828227,30.569438,2.163613,1.0213275,6.8727160000000005,-0.6736595,0.7933645,-5.8267405,1.140302,10.851021
2018-05-31,33.7826725,33.542125,33.5243875,0.0634625,0.158702,0.5879735,30.559894,1.602348,1.1574200000000001,7.619155,-0.648259,0.815343,-8.132019,0.810138,11.194266
2018-06-30,32.4118485,32.13205,32.115505,0.0606385,0.2717515,0.719608,28.608836,1.3717475,1.2964055,7.533927,-0.5361735,0.7289195,-7.6434505,1.051998,10.9309995
2018-07-31,34.3562105,34.28925,34.32215,0.067556,0.5848805,1.8950165,29.9437875,1.1021015,1.43638,5.2460435,-0.450917,0.8099595,-6.277961,2.547453,8.5944845
2018-08-31,32.196118,32.0167,32.02988,0.0788955,0.5009915,1.8197675,27.283155,1.40517,1.328192,3.8766875,-0.521567,0.8107935000000001,-4.3854045,2.3996545,7.420843
2018-09-30,32.4777175,32.401650000000004,32.46995,0.132391,0.3474145,1.5791205,30.0814935,1.6135765,1.175691,3.011391,-0.6171125,0.7861035,-5.6318935,2.058926,6.586762
2018-10-31,36.85304,36.79505,36.78355,0.268376,0.7897765,2.581301,31.556437,2.491207,0.809959,2.8962285,-0.6882325,0.7682100000000001,-4.6193695,3.6394535,6.9656045
2018-11-30,43.502443,43.26305,43.13265,0.322094,0.502103,4.71052,32.6415055,2.806606,0.48264,3.8952175,-0.6719905,0.790224,-1.9753075,5.534717,7.9746875
2018-12-31,47.2701815,46.803,46.7938,0.261294,0.2186355,3.962243,38.8654165,3.661043,0.28360799999999997,5.115585,-0.6652915,0.843097,-5.2737795,4.4421725,9.903333
2019-01-31,53.7974295,53.52755,53.33605,0.37808200000000003,0.40995950000000003,5.529858,40.1440255,3.0359035,0.417578,4.9503755,-0.5265045,0.8421515,-1.3830865,6.3178995,9.2460085
2019-02-28,44.0419665,43.8985,43.64136,0.2689805,0.220887,4.329236,36.071544,2.628137,0.780651,4.9866105,-0.452835,0.7729885,-5.5637775,4.8191035,9.168387
2019-03-31,42.9422055,42.49685,42.48035,0.166995,0.016496,3.113306,35.519717,4.4278225,1.108806,5.158078,-0.574232,0.8629315,-6.857075,3.296797,11.557637999999999
2019-04-30,37.6890125,37.5779,37.695915,0.1659235,0.0284745,1.9438145,31.7337055,2.3214565,1.121773,4.495297,-0.399571,0.7538715,-4.475628,2.1382125,8.692398
2019-05-31,35.384655,35.245400000000004,35.2885,0.19510249999999998,0.007201,1.746003,31.645684499999998,2.2085305,1.373187,5.51537,-0.600247,0.8212435,-7.5269485,1.9483065,9.918331
2019-06-30,32.3860675,32.33543,32.3554,0.167789,0.0146165,1.54478,28.5388715,1.870195,1.4486785,5.768351,-0.544548,0.735383,-7.1579825,1.7271855,9.8226075
2019-07-31,34.378547,34.538,34.4522,0.231224,0.0736255,2.4984735,29.174703,1.7021115,1.5509425,4.384585,-0.398363,0.796865,-5.635522,2.8033230000000002,8.434504
2019-08-31,31.317278,31.2585,31.3218,0.138064,0.029769999999999998,1.9079465,27.6998085,1.635403,1.435,3.735917,-0.542716,0.87957,-5.601402,2.0757805,7.68589
2019-09-30,32.008258,32.03695,32.029955,0.0656835,0.0304915,2.698227,27.511545,2.6169865,1.2029675,2.57309,-0.5455995,0.773817,-4.91883,2.794402,7.166861
2019-10-31,36.128731,35.77145,35.78592,0.065985,0.033318,3.05847,29.1072895,3.3635734999999998,0.779894,3.789807,-0.5132464999999999,0.7701705,-4.326341,3.157773,8.703445
2019-11-30,43.6990695,43.46715,43.355055,0.308318,0.4523065,4.8643785,29.1195675,3.346769,0.4581615,6.3903635,-0.610552,0.806382,-1.4363029999999999,5.625003,11.001676
2019-12-31,46.703922,46.32575,46.214525,0.2419715,0.2388105,3.8952855,32.9632555,4.659177,0.4270055,7.7542945,-0.72483,0.845332,-3.5958515,4.3760674999999996,13.685808999999999
